category,Title ,Base_Reviews
frustration,The energy limit is annoying but,The energy limit is annoying but. Pretty cool game so far. Has all the annoying aspects of mobile games but fun to play.
frustration,A great game but you'll be tempted to buy game items!!,"A great game but you'll be tempted to buy game items!!. I really love playing this game, but hate all the tempting ways to spend money on game play!!"
frustration,Fun but can't buy coins,Fun but can't buy coins. I love playing game but Amazon will not let me use my credit card to buy coins.!!!!
frustration,Wrong gamebdownloaded,Wrong gamebdownloaded. Game that was downloaded was not the one I requested  asdescribed sent to trash bin
frustration,nothing,"nothing. I thought it would be fun to play this game, but couldn't figure out how & wish I hadn't bothered."
frustration,Good game but buggy,"Good game but buggy. As far as matching games go, this one is fairy decent. It adds the element of building a civilization along the way. Unfortunately, when using the Amazon Fire tablet, I encountered problems as the game progressed and the app itself would not always load. It was a bit frustrating having played so long only to have to uninstall it."
frustration,Settings,Settings. I absolutely love this game.  The only problem I have is having to log into FB  every time I open the game.  Now it was me stuck on a screen and will not pay me log in
frustration,Frustrated,"Frustrated. 3 stars for creatvity .  But I am constantly frustrated because when I'm  trying to finish a collection and tap on a charger to do it, I often get sent to a game level where the icon flashes. If  I successfully complete it, I rarely win the icon I want.  Instead, Empire gives me a prize I already have. Sometimes. 10 or 15 of them.  Often just close game in frustration."
frustration,was fun,was fun. First off I was really into this game at first. It has a storline that went with the game to rebuild the town. It's a matching game that I enjoyed. The big problem for me was after I rebuilt the hut(I think it was) the game started to lag so bad I could barely play the game. Sorry but I had to uninstall the game. It was fun while it lasted.
frustration,Not for me,Not for me. Too complicated for me. Do this get that go here ... stick with mahjong
frustration,Average,Average. Long press for every selection is terrible. Same music track over and over. Plenty of timers and hurdles that you cannot continuously play without opening your wallet.
frustration,Be careful of how you delete any offered games,"Be careful of how you delete any offered games. I did not accept this game , why it is on my list is a mystery ?"
frustration,Totems,Totems. Why the totems have to be block four levels out for upgrade. I hate this is ridiculous. This is the only thing I hate about this game.
frustration,What the what?,What the what?. This game is not what I signed up for. I will delete.
frustration,"Please, please give Fire users the new 3.7 updates. I want a farm. I want Valentine's Day recipes.","Please, please give Fire users the new 3.7 updates. I want a farm. I want Valentine's Day recipes.. I hate buying these coins that I need in order to continue playing this game.  I think that about ever third time I purchase the $19.99 package which cost $21.03, the coins don't get put into my bank in the game, but are left somewhere in cyberspace, never to be seen again. But no worries I PAID for the coins, this time today, and many other times before today, May 23, 2016, I just get e-mails saying order is pending.  Of course it is NOT pending in my bank account, that money comes OUT IMMEDIATELY."
